Numero Ordem,Operador,Produto,Ocorrência,Data Inicio,Hora Inicio,Data Fim,Hora Fim,Total Horas,Qtd Aprovada,Qtd Rejeitada
1,Thiago Costa,Racing Madness 2009 E169,Preparação de Máquina,2021-01-08,10:56:04,2021-01-08,12:31:36,1.5922222216031514,0,0
1,Andressa Chou,Racing Madness 2009 E169,Controle de Qualidade,2021-01-09,13:58:39,2021-01-09,14:18:26,0.3297222221153788,0,0
1,Thiago Costa,Racing Madness 2009 E169,,2021-01-05,15:27:04,2021-01-05,17:32:41,2.0936111110495403,388,0
2,Thays Castro,Home Theater System 4.1 Channel M412 Silver,Preparação de Máquina,2021-01-04,15:58:28,2021-01-04,16:18:37,0.3358333334326744,0,0
2,Luiza Cabral,Home Theater System 4.1 Channel M412 Silver,Controle de Qualidade,2021-01-08,12:39:10,2021-01-08,12:58:53,0.32861111109377816,0,0
2,Thays Castro,Home Theater System 4.1 Channel M412 Silver,,2021-01-03,17:33:48,2021-01-03,18:24:42,0.8483333334443159,14,0
3,Luiza Cabral,Home Theater System 7.1 Channel M710 Brown,Controle de Qualidade,2021-01-09,07:51:01,2021-01-09,08:10:57,0.3322222223505378,0,0
3,Mariana Miranda,Home Theater System 7.1 Channel M710 Brown,,2021-01-08,10:16:02,2021-01-08,10:31:48,0.26277777773793787,40,0
3,Mariana Miranda,Home Theater System 7.1 Channel M710 Brown,Outros,2021-01-05,10:42:40,2021-01-05,11:12:55,0.5041666666511446,0,0
3,Mariana Miranda,Home Theater System 7.1 Channel M710 Brown,,2021-01-05,15:16:42,2021-01-05,16:32:30,1.2633333333651535,40,0
4,Thays Castro,Racing Madness 2009 E169,Preparação de Máquina,2021-01-09,08:02:59,2021-01-09,23:07:42,15.078611111151986,0,0
4,Luiza Cabral,Racing Madness 2009 E169,Controle de Qualidade,2021-01-06,16:25:32,2021-01-06,03:30:28,11.082222222466953,0,0
4,Thays Castro,Racing Madness 2009 E169,,2021-01-05,14:03:24,2021-01-05,14:54:02,0.8438888888340443,247,0
5,Antonio Manhães,Bicycle Board Games X500,,2021-01-05,13:46:16,2021-01-05,14:07:11,0.34861111122881994,209,0
6,Thays Castro,Zoo Tycoon 2: Extinct Animals M210,Preparação de Máquina,2021-01-08,10:24:32,2021-01-08,10:44:17,0.3291666666045785,0,0
6,Luiza Cabral,Zoo Tycoon 2: Extinct Animals M210,Controle de Qualidade,2021-01-05,09:54:09,2021-01-05,10:14:09,0.33333333337213844,0,0
